"n";"left";"right";"middle";"random"
5;2.560000000000001;5.760000000000002;3.920000000000001;4.097709330940036
10;3.2399999999999993;4.839999999999999;3.9799999999999995;3.9752919428116655
15;3.4844444444444433;4.551111111111109;3.9911111111111097;4.11560356688984
60;3.867777777777789;4.134444444444457;3.9994444444444555;4.003251107438608
100;3.9204000000000083;4.080400000000009;3.999800000000007;3.9915168596208654
180;3.955679012345653;4.044567901234541;3.999938271604912;3.997239910551909
