"n";"left";"right";"middle";"random"
7;0.0127037037037037;0.018962962962962963;0.015625;0.017891624841270968
8;0.018962962962962963;0.026999999999999996;0.022745370370370367;0.023599525495740962
9;0.026999999999999996;0.03703703703703703;0.031754629629629626;0.03274158197997737
10;0.03703703703703703;0.04929629629629628;0.04287499999999999;0.043071933070346166
11;0.04929629629629628;0.06399999999999999;0.05632870370370369;0.06399159596845189
12;0.06399999999999999;0.08137037037037034;0.07233796296296294;0.06567039808134051
13;0.08137037037037034;0.1016296296296296;0.09112499999999997;0.09889138010682907
14;0.1016296296296296;0.12499999999999996;0.112912037037037;0.12301650901117196
15;0.12499999999999996;0.1517037037037037;0.13792129629629624;0.12606298367845148
16;0.1517037037037037;0.18196296296296294;0.16637500000000005;0.15394660639509003
17;0.18196296296296294;0.21599999999999997;0.1984953703703703;0.18372270362374832
18;0.21599999999999997;0.254037037037037;0.23450462962962967;0.22897801230572368
19;0.254037037037037;0.2962962962962962;0.2746249999999999;0.28429896169962454
20;0.2962962962962962;0.3429999999999999;0.3190787037037037;0.2980174213740767
21;0.3429999999999999;0.39437037037037026;0.3680879629629628;0.37764555035230635
22;0.39437037037037026;0.45062962962962955;0.421875;0.44053709908078625
23;0.45062962962962955;0.5119999999999999;0.4806620370370368;0.49838523984803684
24;0.5119999999999999;0.5787037037037035;0.5446712962962963;0.5552306171399972
25;0.5787037037037035;0.6509629629629627;0.6141249999999997;0.6223355401219173
26;0.6509629629629627;0.7289999999999998;0.6892453703703703;0.7070948866476848
27;0.7289999999999998;0.8130370370370368;0.7702546296296292;0.7326779298940213
28;0.8130370370370368;0.903296296296296;0.8573749999999999;0.8190945686449632
29;0.903296296296296;0.9999999999999997;0.9508287037037032;0.959446981405181
30;0.9999999999999997;1.10337037037037;1.0508379629629627;1.0680968914565847
31;1.10337037037037;1.2136296296296296;1.1576249999999995;1.1112389302583463
32;1.2136296296296296;1.3310000000000004;1.2714120370370376;1.2989227258146536
33;1.3310000000000004;1.4557037037037044;1.3924212962962965;1.396930179427819
34;1.4557037037037044;1.5879629629629641;1.5208750000000013;1.5726573148350456
